SPECIES	ABBREV	GROUP	PARASITOIDISM	ANIMAL_PLANT
Acromyrmex echinatior	Aech	ants	FALSE	NA
Ampulex compressa	Acom	wasps	TRUE	animal
Apis florea	Aflo	bees	FALSE	NA
Apis laboriosa	Alab	bees	FALSE	NA
Apis mellifera	Amel	bees	FALSE	NA
Athalia rosae	Aros	sawflies	FALSE	NA
Atta cephalotes	Acep	ants	FALSE	NA
Atta colombica	Acol	ants	FALSE	NA
Belonocnema kinseyi	Bkin	wasps	TRUE	plant
Bombus affinis	Baff	bees	FALSE	NA
Bombus bifarius	Bbif	bees	FALSE	NA
Bombus huntii	Bhun	bees	FALSE	NA
Bombus impatiens	Bimp	bees	FALSE	NA
Bombus pyrosoma	Bpyr	bees	FALSE	NA
Bombus terrestris	Bter	bees	FALSE	NA
Bombus vancouverensis nearticus	Bvan	bees	FALSE	NA
Bombus vosnesenskii	Bvos	bees	FALSE	NA
Camponotus floridanus	Cflo	ants	FALSE	NA
Cephus cinctus	Ccin	sawflies	TRUE	plant
Ceratina calcarata	Ccal	bees	FALSE	NA
Chelonus insularis	Cins	wasps	TRUE	animal
Colletes gigas	Cgig	bees	FALSE	NA
Cotesia glomerata	Cglo	wasps	TRUE	animal
Cyphomyrmex costatus	Ccos	ants	FALSE	NA
Diachasma alloeum	Dall	wasps	TRUE	animal
Dinoponera quadriceps	Dqua	ants	FALSE	NA
Diprion similis	Dsim	sawflies	FALSE	NA
Drosophila melanogaster	Dmel	flies	FALSE	NA
Dufourea novaeangliae	Dnov	bees	FALSE	NA
Eciton burchellii	Ebur	ants	FALSE	NA
Eufriesea mexicana	Emex	bees	FALSE	NA
Fopius arisanus	Fari	wasps	TRUE	animal
Formica exsecta	Fexs	ants	FALSE	NA
Frieseomelitta varia	Fvar	bees	FALSE	NA
Harpegnathos saltator	Hsal	ants	FALSE	NA
Linepithema humile	Lhum	ants	FALSE	NA
Megachile rotundata	Mrot	bees	FALSE	NA
Megalopta genalis	Mgen	bees	FALSE	NA
Microplitis demolitor	Mdem	wasps	TRUE	animal
Monomorium pharaonis	Mpha	ants	FALSE	NA
Nasonia vitripennis	Nvit	wasps	TRUE	animal
Neodiprion fabricii	Nfab	sawflies	FALSE	NA
Neodiprion lecontei	Nlec	sawflies	FALSE	NA
Neodiprion pinetum	Npin	sawflies	FALSE	NA
Neodiprion virginianus	Nvir	sawflies	FALSE	NA
Nomia melanderi	Nmel	bees	FALSE	NA
Nylanderia fulva	Nful	ants	FALSE	NA
Odontomachus brunneus	Obru	ants	FALSE	NA
Ooceraea biroi	Obir	ants	FALSE	NA
Orussus abietinus	Oabi	sawflies	TRUE	animal
Osmia bicornis bicornis	Obic	bees	FALSE	NA
Pogonomyrmex barbatus	Pbar	ants	FALSE	NA
Polistes canadensis	Pcan	wasps	FALSE	NA
Polistes dominula	Pdom	wasps	FALSE	NA
Polistes exclamans	Pexc	wasps	FALSE	NA
Polistes fuscatus	Pfus	wasps	FALSE	NA
Pseudomyrmex gracilis	Pgra	ants	TRUE	plant
Solenopsis invicta	Sinv	ants	FALSE	NA
Trachymyrmex cornetzi	Tcor	ants	FALSE	NA
Trachymyrmex septentrionalis	Tsep	ants	FALSE	NA
Trachymyrmex zeteki	Tzet	ants	FALSE	NA
Tribolium castaneum	Tcas	beetles	FALSE	NA
Trichogramma pretiosum	Tpre	wasps	TRUE	animal
Venturia canescens	Vcan	wasps	TRUE	animal
Vespa crabro	Vcra	wasps	FALSE	NA
Vespa velutina	Vvel	wasps	FALSE	NA
Vespula pensylvanica	Vpen	wasps	FALSE	NA
Vollenhovia emeryi	Veme	ants	FALSE	NA
Wasmannia auropunctata	Waur	ants	FALSE	NA
